config,metric,n,mean,std,shapiro_W,shapiro_p,normal_alpha_0.05,note
NoMarker,Prec,30,0.7742666666666668,0.08215640396611623,0.9498525231223827,0.16752910289323109,True,
BreastSeg,Prec,30,0.7906799999999999,0.1034871452953424,0.9639427394083715,0.3890026223604166,True,
Original,Prec,30,0.8227899999999999,0.08101325285365991,0.9679723988285943,0.4852925982644709,True,
FixedTemp,Prec,30,0.8388700000000001,0.06195151691666527,0.9691127148419884,0.5151910105566035,True,
FixedSize,Prec,30,0.7966066666666667,0.07149268558358977,0.9704186700744077,0.5506940844240313,True,
Moved,Prec,30,0.7800866666666668,0.06790118445634592,0.9804836697314463,0.8382670319790415,True,
BreastMarkerSeg,Prec,30,0.8083500000000001,0.0767803349014981,0.9807980260548486,0.846357866639315,True,
