config,metric,n,mean,std,shapiro_W,shapiro_p,normal_alpha_0.05,note
Moved,Acc,30,0.8306500000000001,0.03920973445283798,0.9248672959322888,0.03593609214552442,False,
FixedTemp,Acc,30,0.8750966666666665,0.038680053518963566,0.9313141385853767,0.053217422695724374,True,
Original,Acc,30,0.8711300000000002,0.044682791179448574,0.942823223179838,0.10837479870474315,True,
NoMarker,Acc,30,0.8248099999999999,0.04226717443220872,0.950151953727986,0.17065192477618923,True,
FixedSize,Acc,30,0.8512266666666667,0.0429532458998541,0.954127556491935,0.21777352368718583,True,
BreastSeg,Acc,30,0.8307500000000001,0.05310409264051513,0.9682233959569543,0.4917799590658896,True,
BreastMarkerSeg,Acc,30,0.8525566666666665,0.047884146705847515,0.9827005462196944,0.8918967682768508,True,
