config,n,mean_f1,std_f1,shapiro_W,shapiro_p,normal_alpha_0.05,note
Vgg_AUG_CV_DatasetOriginal_9_01,30,0.8322666666666666,0.06297412897007969,0.943422696849514,0.11248389850997381,True,
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,30,0.8329366666666668,0.0527124894140837,0.9471607817200599,0.14184049458600206,True,
Vgg_AUG_CV_DatasetSemMarcador_09_01,30,0.7623533333333334,0.06026101692570032,0.9578122358185568,0.2720595177358458,True,
Vgg_AUG_CV_DatasetSegYolo_09_01,30,0.7660866666666667,0.07975466577350619,0.9681717968177026,0.490441900588432,True,
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,30,0.7727933333333336,0.05522427585471957,0.9702101726797013,0.5449420866027397,True,
Vgg_AUG_CV_DatasetSeg2classes_17_01,30,0.7990566666666665,0.07474225912327359,0.9814971281888827,0.8638153442923817,True,
Vgg_AUG_CV_DatasetTagFixedTam_09_01,30,0.8073466666666668,0.05680266344734764,0.983369900922475,0.9062936764068346,True,
