config,metric,n,mean,std,shapiro_W,shapiro_p,normal_alpha_0.05,note
Moved,ROC_AUC,30,0.8991233333333333,0.039420576487092525,0.9360240081369251,0.07111380633250067,True,
FixedTemp,ROC_AUC,30,0.9546033333333334,0.0234780085411321,0.9462755633358886,0.13426795432274563,True,
Original,ROC_AUC,30,0.9440799999999999,0.023783613599746962,0.9464852071813512,0.13602452095124895,True,
NoMarker,ROC_AUC,30,0.9054199999999998,0.039752444297001505,0.9667479580368481,0.45444011923461164,True,
FixedSize,ROC_AUC,30,0.9386499999999998,0.02391501836604513,0.9669558334166628,0.45958306570921853,True,
BreastSeg,ROC_AUC,30,0.9055900000000001,0.0402759391679706,0.9782439172001341,0.7771848901486982,True,
BreastMarkerSeg,ROC_AUC,30,0.92383,0.032881187892796385,0.9795540716005509,0.8135743708777782,True,
