Configuração,n,mean_acc,std_acc
BreastMarkerSeg,30,0.8525566666666666,0.04788414670584751
BreastSeg,30,0.83075,0.05310409264051513
FixedSize,30,0.8512266666666667,0.04295324589985412
FixedTemp,30,0.8750966666666666,0.038680053518963566
Moved,30,0.83065,0.03920973445283796
NoMarker,30,0.8248099999999999,0.04226717443220872
Original,30,0.8711300000000001,0.044682791179448594
