,Original,FixedTemp,FixedSize,BreastMarkerSeg,BreastSeg,NoMarker,Moved
Original,1.0,0.589480814878335,0.9,0.1101681952304171,0.001,0.001,0.001
FixedTemp,0.589480814878335,1.0,0.1425714147103355,0.0020733577141225,0.001,0.001,0.001
FixedSize,0.9,0.1425714147103355,1.0,0.4312349128696241,0.0058242697647857,0.004880224576076,0.001
BreastMarkerSeg,0.1101681952304171,0.0020733577141225,0.4312349128696241,1.0,0.476377220902608,0.4562327916949588,0.1344715750115835
BreastSeg,0.001,0.001,0.0058242697647857,0.476377220902608,1.0,0.9,0.9
NoMarker,0.001,0.001,0.004880224576076,0.4562327916949588,0.9,1.0,0.9
Moved,0.001,0.001,0.001,0.1344715750115835,0.9,0.9,1.0
