,Original,FixedTemp,BreastMarkerSeg,FixedSize,BreastSeg,Moved,NoMarker
Original,1.0,0.9,0.9,0.8163230616116036,0.8099107980210453,0.3054198770585375,0.2600011573826347
FixedTemp,0.9,1.0,0.6069125503489907,0.1986282873997829,0.3208659201537085,0.0148189395239193,0.0183360372795203
BreastMarkerSeg,0.9,0.6069125503489907,1.0,0.9,0.9,0.7118733301661919,0.6263465943393406
FixedSize,0.8163230616116036,0.1986282873997829,0.9,1.0,0.9,0.9,0.9
BreastSeg,0.8099107980210453,0.3208659201537085,0.9,0.9,1.0,0.9,0.9
Moved,0.3054198770585375,0.0148189395239193,0.7118733301661919,0.9,0.9,1.0,0.9
NoMarker,0.2600011573826347,0.0183360372795203,0.6263465943393406,0.9,0.9,0.9,1.0
