,BreastMarkerSeg,BreastSeg,FixedSize,FixedTemp,Moved,NoMarker,Original
BreastMarkerSeg,1.0,0.476377220902608,0.4312349128696241,0.0020733577141225,0.1344715750115835,0.4562327916949588,0.1101681952304171
BreastSeg,0.476377220902608,1.0,0.0058242697647857,0.001,0.9,0.9,0.001
FixedSize,0.4312349128696241,0.0058242697647857,1.0,0.1425714147103355,0.001,0.004880224576076,0.9
FixedTemp,0.0020733577141225,0.001,0.1425714147103355,1.0,0.001,0.001,0.589480814878335
Moved,0.1344715750115835,0.9,0.001,0.001,1.0,0.9,0.001
NoMarker,0.4562327916949588,0.9,0.004880224576076,0.001,0.9,1.0,0.001
Original,0.1101681952304171,0.001,0.9,0.589480814878335,0.001,0.001,1.0
