,Original,FixedTemp,FixedSize,BreastMarkerSeg,BreastSeg,NoMarker,Moved
Original,1.0,0.9,0.6553006077101251,0.5117585208292401,0.0125994175031103,0.001,0.0046890061483636
FixedTemp,0.9,1.0,0.5415323155849245,0.4115986814628953,0.0061624116417638,0.001,0.0011775789124697
FixedSize,0.6553006077101251,0.5415323155849245,1.0,0.9,0.2596695254407698,0.0610121562115014,0.2219803333956562
BreastMarkerSeg,0.5117585208292401,0.4115986814628953,0.9,1.0,0.6309179403159275,0.3716723802884145,0.6904082284224426
BreastSeg,0.0125994175031103,0.0061624116417638,0.2596695254407698,0.6309179403159275,1.0,0.9,0.9
NoMarker,0.001,0.001,0.0610121562115014,0.3716723802884145,0.9,1.0,0.9
Moved,0.0046890061483636,0.0011775789124697,0.2219803333956562,0.6904082284224426,0.9,0.9,1.0
