,Original,FixedTemp,FixedSize,BreastMarkerSeg,Moved,NoMarker,BreastSeg
Original,1.0,0.9,0.9,0.7032871814865187,0.0226117586189076,0.0147827872117135,0.0052090254872221
FixedTemp,0.9,1.0,0.9,0.9,0.1721459419939223,0.1053212836689807,0.0478279233794071
FixedSize,0.9,0.9,1.0,0.9,0.2890883656715085,0.181276017577452,0.0862253342376015
BreastMarkerSeg,0.7032871814865187,0.9,0.9,1.0,0.9,0.7905302137783392,0.6251207954032172
Moved,0.0226117586189076,0.1721459419939223,0.2890883656715085,0.9,1.0,0.9,0.9
NoMarker,0.0147827872117135,0.1053212836689807,0.181276017577452,0.7905302137783392,0.9,1.0,0.9
BreastSeg,0.0052090254872221,0.0478279233794071,0.0862253342376015,0.6251207954032172,0.9,0.9,1.0
