Configuração,n,mean,std,median
Vgg_AUG_CV_DatasetFixedTagTemp_09_01,30,0.8329366666666667,0.052712489414083706,0.8404
Vgg_AUG_CV_DatasetOriginal_9_01,30,0.8322666666666667,0.06297412897007967,0.85
Vgg_AUG_CV_DatasetTagFixedTam_09_01,30,0.8073466666666668,0.056802663447347655,0.8
Vgg_AUG_CV_DatasetSeg2classes_17_01,30,0.7990566666666666,0.07474225912327359,0.8
Vgg_AUG_CV_DatasetMarcadorMovidoFixo_09_01,30,0.7727933333333333,0.05522427585471957,0.77095
Vgg_AUG_CV_DatasetSegYolo_09_01,30,0.7660866666666667,0.0797546657735062,0.7717
Vgg_AUG_CV_DatasetSemMarcador_09_01,30,0.7623533333333333,0.06026101692570035,0.75
