Configuração,n,mean,std,median
FixedTemp,30,0.8329366666666667,0.052712489414083706,0.8404
Original,30,0.8322666666666667,0.06297412897007967,0.85
FixedSize,30,0.8073466666666668,0.056802663447347655,0.8
Breast+Marker,30,0.7990566666666666,0.07474225912327359,0.8
Moved,30,0.7727933333333333,0.05522427585471957,0.77095
YBreastSegmentation,30,0.7660866666666667,0.0797546657735062,0.7717
WithoutTag,30,0.7623533333333333,0.06026101692570035,0.75
