dv,F,df1,df2,p,eta2_approx,reject_H0(alpha=0.05)
ROC_AUC,13.875911927296688,6.0,89.68665386656723,4.2482155056104535e-11,0.48140654774889635,True
F1,7.136973947487004,6.0,90.0491064937782,3.0438797555526e-06,0.3222814590196748,True
Rec,4.635092451114666,6.0,89.93049933838084,0.0003790615566885179,0.2362010000016026,True
Prec,3.1626639655305473,6.0,90.02298285605488,0.007334953055034164,0.17409324488596806,True
