dv,group1,group2,mean1,mean2,diff_mean,se,t,df,q,p,significant(alpha=0.05)
Prec,FixedTemp,Moved,0.83887,0.7800866666666667,0.0587833333333333,0.016781499037978872,3.5028654591761095,57.519013063173574,4.9537998395351135,0.014818939523919328,True
Prec,FixedTemp,NoMarker,0.83887,0.7742666666666668,0.06460333333333323,0.018786222931463665,3.43886759829374,53.9219394744441,4.8632931967124,0.01833603727952038,True
Prec,FixedSize,FixedTemp,0.7966066666666667,0.83887,-0.04226333333333332,0.017271551310589606,2.446991157500754,56.84930603009118,3.4605680819446047,0.1986282873997829,False
Prec,NoMarker,Original,0.7742666666666668,0.82279,-0.04852333333333325,0.021065629075640975,2.303436235352815,57.98861616503622,3.2575507640975756,0.26000115738263474,False
Prec,Moved,Original,0.7800866666666667,0.82279,-0.042703333333333315,0.019299151957625625,2.212705171040433,56.28135893501314,3.1292376624184595,0.30541987705853757,False
Prec,BreastSeg,FixedTemp,0.79068,0.83887,-0.048189999999999955,0.022020883792175688,2.188377199334865,47.41980118879033,3.0948327148874166,0.3208659201537085,False
Prec,BreastMarkerSeg,FixedTemp,0.80835,0.83887,-0.03051999999999999,0.018012227583748094,1.6944045292619607,55.519721204400355,2.396249865428665,0.6069125503489907,False
Prec,BreastMarkerSeg,NoMarker,0.80835,0.7742666666666668,0.03408333333333324,0.020530379555047915,1.6601414134573558,57.73636849134478,2.3477945023686324,0.6263465943393406,False
Prec,BreastMarkerSeg,Moved,0.80835,0.7800866666666667,0.028263333333333307,0.018713444968935143,1.5103223046452032,57.14553599129891,2.135918286783836,0.7118733301661919,False
Prec,BreastSeg,Original,0.79068,0.82279,-0.03210999999999997,0.023994955288775703,1.3381979509259725,54.83972971544476,1.8924976913393958,0.8099107980210453,False
Prec,FixedSize,Original,0.7966066666666667,0.82279,-0.026183333333333336,0.019726759515849752,1.3273002751564926,57.11652266831215,1.8770860504678528,0.8163230616116036,False
Prec,BreastMarkerSeg,BreastSeg,0.80835,0.79068,0.017669999999999964,0.023526445452557936,0.7510696860531805,53.50236669952371,1.0621729363037105,0.9,False
Prec,BreastMarkerSeg,FixedSize,0.80835,0.7966066666666667,0.011743333333333328,0.019154132643322896,0.6130965861002867,57.7071892557993,0.8670495071076695,0.9,False
Prec,BreastMarkerSeg,Original,0.80835,0.82279,-0.014440000000000008,0.020378392940822755,0.7085936580932868,57.83376684619314,1.00210276148709,0.9,False
Prec,BreastSeg,FixedSize,0.79068,0.7966066666666667,-0.005926666666666636,0.022964315312627503,0.25808157508653046,51.54553720721749,0.3649824636859817,0.9,False
Prec,BreastSeg,Moved,0.79068,0.7800866666666667,0.010593333333333343,0.022598053081297385,0.4687719466461739,50.065306462873124,0.662943644607056,0.9,False
Prec,BreastSeg,NoMarker,0.79068,0.7742666666666668,0.01641333333333328,0.0241241676568146,0.6803688967356698,55.16232704247929,0.962186921180404,0.9,False
Prec,FixedSize,Moved,0.7966066666666667,0.7800866666666667,0.01651999999999998,0.018001643390284063,0.9176939928115805,57.846599747110965,1.2978152907424547,0.9,False
Prec,FixedSize,NoMarker,0.7966066666666667,0.7742666666666668,0.022339999999999915,0.019883727689241862,1.1235317818241408,56.91391935412455,1.5889138836129093,0.9,False
Prec,FixedTemp,Original,0.83887,0.82279,0.016079999999999983,0.01862000500018452,0.8635873083729372,54.2742388054347,1.2212968837942841,0.9,False
Prec,Moved,NoMarker,0.7800866666666667,0.7742666666666668,0.005819999999999936,0.019459569679396296,0.2990816393109723,56.013975055603744,0.4229653105703553,0.9,False
