dv,group1,group2,mean1,mean2,diff_mean,se,t,df,q,p,significant(alpha=0.05)
F1,FixedTemp,NoMarker,0.8329366666666667,0.7623533333333333,0.07058333333333333,0.014617337538176406,4.828740743585442,56.991280301135816,6.828870648762076,0.001,True
F1,NoMarker,Original,0.7623533333333333,0.8322666666666667,-0.06991333333333338,0.015913444086117636,4.393350236126664,57.887877438212215,6.213135488185368,0.001,True
F1,FixedTemp,Moved,0.8329366666666667,0.7727933333333333,0.060143333333333326,0.013938348998247066,4.314953897401848,57.8747707852879,6.102266322720339,0.0011775789124697233,True
F1,Moved,Original,0.7727933333333333,0.8322666666666667,-0.05947333333333338,0.015292112959756294,3.889150798836447,57.027736881616995,5.500089805828661,0.00468900614836365,True
F1,BreastSeg,FixedTemp,0.7660866666666667,0.8329366666666667,-0.06684999999999997,0.017454143016175813,3.830036223379516,50.276284846180346,5.416489171483541,0.0061624116417638986,True
F1,BreastSeg,Original,0.7660866666666667,0.8322666666666667,-0.06618000000000002,0.018553119802505732,3.56705506698997,55.03928001556244,5.044577653468885,0.012599417503110333,True
F1,FixedSize,NoMarker,0.8073466666666668,0.7623533333333333,0.04499333333333344,0.015119449654481684,2.9758578758848264,57.79857480350316,4.208498567771112,0.06101215621150147,False
F1,FixedSize,Moved,0.8073466666666668,0.7727933333333333,0.034553333333333436,0.014464051090422776,2.3889111782944803,57.954000471506156,3.378430587648745,0.22198033339565626,False
F1,BreastSeg,FixedSize,0.7660866666666667,0.8073466666666668,-0.041260000000000074,0.01787675332879391,2.308025357912334,52.39979791053437,3.26404076346064,0.2596695254407698,False
F1,BreastMarkerSeg,NoMarker,0.7990566666666666,0.7623533333333333,0.03670333333333331,0.017528829072673505,2.0938839200932033,55.50330792728982,2.9611990378307502,0.37167238028841454,False
F1,BreastMarkerSeg,FixedTemp,0.7990566666666666,0.8329366666666667,-0.03388000000000002,0.016698315123668876,2.028947217074441,52.126980968908704,2.869364671725823,0.41159868146289535,False
F1,BreastMarkerSeg,Original,0.7990566666666666,0.8322666666666667,-0.03321000000000007,0.017843902990835835,1.8611399096406132,56.377117354265316,2.632049301687592,0.5117585208292401,False
F1,FixedSize,FixedTemp,0.8073466666666668,0.8329366666666667,-0.02558999999999989,0.014148202612514111,1.8087103147197998,57.67907562674609,2.55790265748085,0.5415323155849245,False
F1,BreastMarkerSeg,BreastSeg,0.7990566666666666,0.7660866666666667,0.032969999999999944,0.019955961524896308,1.6521378816484393,57.75733547995112,2.3364757991375784,0.6309179403159275,False
F1,FixedSize,Original,0.8073466666666668,0.8322666666666667,-0.024919999999999942,0.015483629520941221,1.609441763398967,57.39374830540421,2.276094369648489,0.6553006077101251,False
F1,BreastMarkerSeg,Moved,0.7990566666666666,0.7727933333333333,0.026263333333333305,0.0169667576381275,1.547928831983469,53.393379465403804,2.189101947779366,0.6904082284224426,False
F1,BreastMarkerSeg,FixedSize,0.7990566666666666,0.8073466666666668,-0.00829000000000013,0.01713957202262571,0.48367602114315444,54.11952363093225,0.6840211888953049,0.9,False
F1,BreastSeg,Moved,0.7660866666666667,0.7727933333333333,-0.006706666666666639,0.017711133368893368,0.3786695366681487,51.610706725970466,0.535519594413632,0.9,False
F1,BreastSeg,NoMarker,0.7660866666666667,0.7623533333333333,0.0037333333333333663,0.018250293946092323,0.20456291522541378,53.97289122569162,0.2892956490703579,0.9,False
F1,FixedTemp,Original,0.8329366666666667,0.8322666666666667,0.0006699999999999484,0.01499371808432909,0.04468538065286215,56.25700360661248,0.06319467135908197,0.9,False
F1,Moved,NoMarker,0.7727933333333333,0.7623533333333333,0.010440000000000005,0.014923260149397323,0.6995790393978775,57.56368130568299,0.9893541654684201,0.9,False
