Configuração,n,mean,std,median
FixedTemp,30,0.83887,0.06195151691666526,0.83805
Original,30,0.82279,0.08101325285365991,0.8297
BreastMarkerSeg,30,0.80835,0.0767803349014981,0.8109999999999999
FixedSize,30,0.7966066666666667,0.07149268558358977,0.7895
BreastSeg,30,0.79068,0.10348714529534243,0.77765
Moved,30,0.7800866666666667,0.06790118445634592,0.7778
NoMarker,30,0.7742666666666668,0.08215640396611623,0.76695
