dv,group1,group2,mean1,mean2,diff_mean,se,t,df,q,p,significant(alpha=0.05)
Rec,BreastSeg,Original,0.7554133333333334,0.8469466666666666,-0.09153333333333324,0.023579153303248283,3.8819601431881585,51.075294096323155,5.489920683088497,0.00520902548722213,True
Rec,NoMarker,Original,0.7644066666666667,0.8469466666666666,-0.08253999999999995,0.02342048453353262,3.5242652594066577,51.358034810562366,4.98406372725323,0.014782787211713555,True
Rec,Moved,Original,0.7746133333333333,0.8469466666666666,-0.07233333333333336,0.021523315060365117,3.3606966738378596,54.797407791432654,4.752742815163652,0.02261175861890763,True
Rec,BreastSeg,FixedTemp,0.7554133333333334,0.8364133333333333,-0.08099999999999996,0.026362426443128275,3.072554803509512,57.48601782879576,4.3452486742577525,0.04782792337940711,True
Rec,BreastSeg,FixedSize,0.7554133333333334,0.8267666666666666,-0.07135333333333327,0.025157029166320417,2.8363179476239297,55.72699398256557,4.011159308731983,0.08622533423760159,False
Rec,FixedTemp,NoMarker,0.8364133333333333,0.7644066666666667,0.07200666666666666,0.026220605508963844,2.746186263396941,57.58652082125938,3.883693858498647,0.10532128366898075,False
Rec,FixedTemp,Moved,0.8364133333333333,0.7746133333333333,0.06180000000000008,0.024540866909280205,2.5182484477200853,57.883588212098466,3.5613411081907387,0.1721459419939223,False
Rec,FixedSize,NoMarker,0.8267666666666666,0.7644066666666667,0.06235999999999997,0.02500837343296146,2.4935648120884357,55.92867042302965,3.526433175911784,0.18127601757745204,False
Rec,FixedSize,Moved,0.8267666666666666,0.7746133333333333,0.052153333333333385,0.023241186225422133,2.244004795085975,57.75621654172961,3.173502015240844,0.28908836567150853,False
Rec,BreastMarkerSeg,BreastSeg,0.8059933333333333,0.7554133333333334,0.05057999999999996,0.030425768217869374,1.6624066691697792,56.21340688994809,2.350998057719385,0.6251207954032172,False
Rec,BreastMarkerSeg,Original,0.8059933333333333,0.8469466666666666,-0.040953333333333286,0.02685165619869708,1.5251697336762586,45.92288208311988,2.1569157222859263,0.7032871814865187,False
Rec,BreastMarkerSeg,NoMarker,0.8059933333333333,0.7644066666666667,0.04158666666666666,0.030302970100880646,1.3723627264331457,56.02318222900806,1.9408139802170725,0.7905302137783392,False
Rec,BreastMarkerSeg,FixedSize,0.8059933333333333,0.8267666666666666,-0.02077333333333331,0.02824731998951474,0.7354089995455946,51.11458641860615,1.0400253810486093,0.9,False
Rec,BreastMarkerSeg,FixedTemp,0.8059933333333333,0.8364133333333333,-0.030420000000000003,0.0293259696870247,1.0373058529573314,54.104972851035114,1.4669720055812496,0.9,False
Rec,BreastMarkerSeg,Moved,0.8059933333333333,0.7746133333333333,0.031380000000000075,0.02886180854238288,1.0872499536513551,52.9318613801199,1.5376036301432656,0.9,False
Rec,BreastSeg,Moved,0.7554133333333334,0.7746133333333333,-0.019199999999999884,0.02584509667658882,0.7428875287354508,56.90350940838989,1.050601618455507,0.9,False
Rec,BreastSeg,NoMarker,0.7554133333333334,0.7644066666666667,-0.008993333333333298,0.027445127560642227,0.3276841513475134,57.99431544669424,0.4634153710103714,0.9,False
Rec,FixedSize,FixedTemp,0.8267666666666666,0.8364133333333333,-0.009646666666666692,0.023815147341804913,0.4050643285222516,57.31286515647256,0.5728474670297192,0.9,False
Rec,FixedSize,Original,0.8267666666666666,0.8469466666666666,-0.020179999999999976,0.020692031931171313,0.9752546326588646,56.18750883387148,1.3792183282733572,0.9,False
Rec,FixedTemp,Original,0.8364133333333333,0.8469466666666666,-0.010533333333333283,0.022141851705195434,0.47572052570750933,53.684516104170825,0.6727704193548184,0.9,False
Rec,Moved,NoMarker,0.7746133333333333,0.7644066666666667,0.010206666666666586,0.02570042115432311,0.3971400548410743,57.049304970083945,0.5616408517178421,0.9,False
