config,metric,n,mean,std,shapiro_W,shapiro_p,normal_alpha_0.05,note
FixedSize,Rec,30,0.8267666666666666,0.08703963161264167,0.9331277478026463,0.05948677378964785,True,
BreastMarkerSeg,Rec,30,0.8059933333333332,0.1279118255926198,0.9425219829975057,0.10636701199751764,True,
BreastSeg,Rec,30,0.7554133333333334,0.1068194084564622,0.9487418259406216,0.15642193366204454,True,
Original,Rec,30,0.8469466666666666,0.07258724469184667,0.9539920888435521,0.21598297316587223,True,
FixedTemp,Rec,30,0.8364133333333333,0.09715420637364064,0.9690176404053227,0.5126573313778415,True,
Moved,Rec,30,0.7746133333333335,0.09289071344153926,0.9801760847383021,0.8302178935418043,True,
NoMarker,Rec,30,0.7644066666666667,0.10576703069297727,0.9887069373386698,0.9829349043424234,True,
